Test,Output,Nominal,Spec,Weight,Pass/Fail
yg9bq_DDPUF_128_mc_1,E6_iter15,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter16,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter17,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter18,800.4e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter19,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter20,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter21,799.6e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter22,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter23,799.4e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter24,800.4e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter25,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter26,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter27,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter28,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter29,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter30,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter31,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter32,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter33,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter34,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter35,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter36,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter37,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter38,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter39,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter40,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter41,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter42,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter43,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter44,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter45,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter46,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter47,800e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter48,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E6_iter49,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E7_iter0,444.2e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter1,508e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter2,-133.1e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter3,451.8e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter4,172.7e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter5,-33.48e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter6,-60.09e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter7,-10.84e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter8,147.3e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter9,-93.45e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter10,84.31e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter11,-127.8e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter12,-146.5e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter13,-83.15e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter14,-317.7e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter15,98.83e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter16,157.8e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter17,245.1e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter18,401.6e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter19,136.7e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter20,-380e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter21,-101.7e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter22,187.5e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter23,-15.62e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter24,-19.98e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter25,-23.6e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter26,38.83e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter27,260.2e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter28,129.4e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter29,20.81e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter30,226.4e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter31,-141e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter32,463.3e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter33,79.49e-6,,,
yg9bq_DDPUF_128_mc_1,E7_iter34,204.5e-6,,,
